keys,fr,en
ACCROCHE,"Colorie la ville en vomissant un arc-en-ciel. Évite la soucoupe et la coccinelle.","Paint the town by puking a rainbow. Dodge the saucer and the ladybug."
AIDE_CONTROLES,"Flèches / WASD : se déplacer   ·   Espace : vomir   ·   Échap : pause","Arrows / WASD: move   ·   Space: puke   ·   Esc: pause"
REGLAGES,Réglages,Settings
RECORD,record %s,best %s
PAS_ENCORE_PEINT,pas encore peint,not painted yet
DIFF_FACILE,Facile,Easy
DIFF_FACILE_DESC,3 cœurs + bonus · 85 % à peindre,3 hearts + extras · paint 85%
DIFF_MOYEN,Moyen,Normal
DIFF_MOYEN_DESC,3 cœurs · 90 % à peindre,3 hearts · paint 90%
DIFF_HARDCORE,Hardcore,Hardcore
DIFF_HARDCORE_DESC,1 seul coup · 95 % à peindre,1 hit · paint 95%
NIVEAU_SKYLINE,Skyline,Skyline
NIVEAU_METROPOLE,Métropole,Metropolis
NIVEAU_VILLAGE,Village,Village
INDICE_CLAVIER,"Attrape une pastille de couleur, puis maintiens Espace pour peindre la ville !","Grab a color dot, then hold Space to paint the town!"
INDICE_TACTILE,"Attrape une pastille de couleur, puis maintiens VOMIR pour peindre la ville !","Grab a color dot, then hold PUKE to paint the town!"
BONUS_XXL,★ GERBE XXL %d s,★ XXL SPEW %d s
PAUSE,PAUSE,PAUSED
CONTINUER,Continuer,Resume
REVENIR_MENU,Revenir au menu,Back to menu
ECHAP_REPRENDRE,Échap pour reprendre,Esc to resume
VICTOIRE,VICTOIRE !,VICTORY!
GAME_OVER,GAME OVER,GAME OVER
VILLE_PEINTE_TEMPS,Ville peinte à %d %% en %s,Town painted %d%% in %s
VILLE_PEINTE,Ville peinte à %d %%,Town painted %d%%
NOUVEAU_RECORD,Nouveau record !,New record!
NIVEAU_SUIVANT,Niveau suivant,Next level
REJOUER,Rejouer,Play again
MENU,Menu,Menu
VOMIR,VOMIR,PUKE
VOLUME_MUSIQUE,Musique,Music
VOLUME_EFFETS,Effets sonores,Sound effects
PLEIN_ECRAN,Plein écran,Fullscreen
LANGUE,Langue,Language
FERMER,Fermer,Close
STAT_PEINT,Ville peinte,Town painted
STAT_TEMPS,Temps,Time
STAT_COEURS_PERDUS,Cœurs perdus,Hearts lost
STAT_COULEURS,Couleurs,Colors
STAT_RECORD_PRECEDENT,Record précédent,Previous best
PREMIER_TEMPS,Premier temps !,First time!
SANS_EGRATIGNURE,Sans une égratignure !,Flawless!
DIFFICULTE,Difficulté,Difficulty
NIVEAU,Niveau,Level
JOUER,Jouer,Play
PRET,PRÊT ?,READY?
VOMISSEZ,VOMISSEZ !,VOMIT!
CONTINUE,CONTINUE ?,CONTINUE?
CONTINUE_AIDE,Espace pour continuer,Press Space to continue
ARCADE,Arcade,Arcade
ARCADE_DESC,9 stages · 3 difficultés,9 stages · 3 difficulties
ARCADE_TERMINE,ARCADE TERMINÉ !,ARCADE CLEARED!
STAT_TEMPS_TOTAL,Temps total,Total time
STAGE,STAGE %d/%d,STAGE %d/%d
FILTRE_CRT,Filtre CRT,CRT filter
DEMO,DÉMO · appuie sur une touche,DEMO · press any key
MULTIJOUEUR,Multijoueur,Multiplayer
RETOUR,Retour,Back
RESEAU_PSEUDO,Pseudo,Name
RESEAU_HEBERGER,Héberger une partie,Host a game
RESEAU_PARTIES,Parties sur le réseau,Games on the network
RESEAU_AUCUNE_PARTIE,"Aucune partie trouvée. Pare-feu ? Réseau Privé ? Essaie par IP.","No game found. Firewall? Private network? Try by IP."
RESEAU_ECOUTE_IMPOSSIBLE,"Recherche impossible : port %d déjà utilisé (un autre LeLion ouvert ?). Rejoins par IP.","Can't search: port %d already in use (another LeLion open?). Join by IP."
RESEAU_PARTIE,%s · %d/%d joueurs · %s,%s · %d/%d players · %s
RESEAU_PARTIE_PLEINE,complète,full
RESEAU_PARTIE_MANCHE,manche en cours,round in progress
RESEAU_PARTIE_VERSION,version %s,version %s
RESEAU_ADRESSE_IP,Adresse IP,IP address
RESEAU_REJOINDRE,Rejoindre,Join
RESEAU_IP_INVALIDE,"Adresse IP invalide (exemple : 192.168.1.20)","Invalid IP address (example: 192.168.1.20)"
RESEAU_CONNEXION,Connexion à %s…,Connecting to %s…
RESEAU_REFUS_VERSION,Version différente de l'hôte (%s),Different version from the host (%s)
RESEAU_REFUS_PLEIN,La partie est complète.,The game is full.
RESEAU_REFUS_MANCHE,"Une manche est en cours : réessaie à la fin.","A round is in progress: try again when it ends."
RESEAU_REFUS_DEMANDE,"Réponse incomprise : est-ce bien une partie de LeLion ?","Unreadable answer: is this really a LeLion game?"
RESEAU_ECHEC_CONNEXION,"Pas de réponse de l'hôte. Pare-feu de l'hôte ? Réseau Privé ?","No answer from the host. Host firewall? Private network?"
RESEAU_HOTE_PERDU,L'hôte a quitté la partie,The host left the game
RESEAU_PORT_OCCUPE,Impossible d'héberger : port %d occupé,Can't host: port %d in use
RESEAU_HEBERGER_IMPOSSIBLE,Impossible d'héberger (erreur %d),Can't host (error %d)
SALON,Salon,Lobby
SALON_NIVEAU,Niveau : %s,Level: %s
SALON_HOTE,HÔTE,HOST
SALON_TOI,TOI,YOU
SALON_LIBRE,Place libre,Free slot
SALON_PRET,PRÊT !,READY!
SALON_PAS_PRET,pas prêt,not ready
SALON_ATTENTE_JOUEURS,"Il faut au moins 2 joueurs pour démarrer.","At least 2 players are needed to start."
SALON_ATTENTE_ARRIVEE,"Un joueur est en train d'arriver…","A player is joining…"
SALON_ATTENTE_PRETS,"Tous les joueurs doivent être prêts.","Every player must be ready."
SALON_PRET_A_DEMARRER,"Tout le monde est prêt : tu peux démarrer la partie.","Everyone is ready: you can start the game."
SALON_ATTENTE_HOTE,"Tout le monde est prêt : l'hôte peut démarrer.","Everyone is ready: the host can start."
SALON_DEMARRER,Démarrer la partie,Start the game
SALON_AIDE,"Gauche/Droite : couleur   ·   Espace : prêt   ·   Échap : quitter","Left/Right: color   ·   Space: ready   ·   Esc: leave"
SALON_AIDE_HOTE,"Gauche/Droite : couleur   ·   Haut/Bas : niveau   ·   Espace : prêt   ·   Tab : démarrer   ·   Échap : quitter","Left/Right: color   ·   Up/Down: level   ·   Space: ready   ·   Tab: start   ·   Esc: leave"
SALON_ADRESSES,"Les autres te voient dans leur liste, ou tapent ton adresse : %s","Others see you in their list, or type your address: %s"
